2022-08-20 08:02:25.064  INFO [authorizationService,08a0927a427e09e6,aaf5d7e401106a15] 8812 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:25.387  INFO [authorizationService,2f2f091d42b1c593,a56f3089ef30d44a] 8812 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:25.393  INFO [authorizationService,2f2f091d42b1c593,a56f3089ef30d44a] 8812 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:25.403  INFO [authorizationService,2f2f091d42b1c593,a56f3089ef30d44a] 8812 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:25.406  INFO [authorizationService,2f2f091d42b1c593,a56f3089ef30d44a] 8812 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:25.409  INFO [authorizationService,2f2f091d42b1c593,a56f3089ef30d44a] 8812 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:25.416  INFO [authorizationService,2f2f091d42b1c593,a56f3089ef30d44a] 8812 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:40.049  INFO [authorizationService,4577cebaf6e3876c,ec6fbbd537b0a3ce] 8812 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:40.054  INFO [authorizationService,4577cebaf6e3876c,ec6fbbd537b0a3ce] 8812 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:40.062  INFO [authorizationService,4577cebaf6e3876c,ec6fbbd537b0a3ce] 8812 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:40.066  INFO [authorizationService,4577cebaf6e3876c,ec6fbbd537b0a3ce] 8812 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
